bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1
BRCA1,BRCA,2.87,1.36,2.98,3.08,1.65
BRCA2,BRCA,2.17,0.43,2.55,2.39,3.08
BRCA3,BRCA,1.32,1.31,3.02,0.79,2.98
BRCA4,BRCA,1.84,0.81,3.13,2.5,-1.92
BRCA5,BRCA,-6.03,0.25,-1.45,-4.86,-1.17
BRCA6,BRCA,1.8,1.31,4.04,2.8,3.53
BRCA7,BRCA,-4.88,-0.24,-0.72,-4.49,-1.46
BRCA8,BRCA,-3.14,-1.24,-1.19,-1.63,-0.99
BRCA9,BRCA,2.03,1.21,2.28,4.12,0.67
BRCA10,BRCA,-0.29,0.29,-1.6,0.47,0.01
BRCA11,BRCA,-0.8,-0.17,0.33,-1.8,1.04
BRCA12,BRCA,2.65,0.58,3.06,3.85,1.9
BRCA13,BRCA,-2.31,0,-1.18,-3.25,-0.68
BRCA14,BRCA,-3.76,0.46,-2.44,-4.21,-1.37
BRCA15,BRCA,3.93,0.71,2.09,4.07,1.26
BRCA16,BRCA,-1.28,0.37,1.72,-1.46,2
BRCA17,BRCA,1.62,0.92,2.01,0.92,4.12
BRCA18,BRCA,1.87,-0.04,1.18,3.01,1.9
BRCA19,BRCA,1.47,0.15,1.51,0.43,-0.48
BRCA20,BRCA,-2.96,1.36,-1.15,-1.44,1.46
BRCA21,BRCA,2.35,0.94,0.96,2.85,1.58
BRCA22,BRCA,2.46,0.64,2.45,4.36,2.86
BRCA23,BRCA,3.37,-0.14,2.45,4.52,3.04
BRCA24,BRCA,2.98,0.27,3.19,3.99,-0.15
BRCA25,BRCA,2.26,0.47,2.78,5.13,1.28
BRCA26,BRCA,1.99,0.98,1.44,3.64,3.01
BRCA27,BRCA,1.54,0.46,1.62,4.53,-0.24
BRCA28,BRCA,1.48,0.86,1.03,-1.27,2.03
BRCA29,BRCA,0.04,0.64,1.14,4.39,2.66
BRCA30,BRCA,2.31,0.98,0.42,1.66,1.55
BRCA31,BRCA,-2.2,0.34,-1.81,-4.63,1.01
BRCA32,BRCA,1.82,1.1,2.16,-2.72,-2.58
BRCA33,BRCA,-1.29,-0.7,-0.87,-2.59,-0.97
BRCA34,BRCA,2.98,0.27,2.93,3.19,3.45
BRCA35,BRCA,2.13,-0.13,2.48,3.56,-0.4
BRCA36,BRCA,1.99,1.36,2.36,4.17,3.24
BRCA37,BRCA,1.38,0.78,1.93,3.44,2.82
BRCA38,BRCA,1.8,1.25,2.48,3.26,3.04
BRCA39,BRCA,1.83,0.73,1.88,0.11,-0.11
BRCA40,BRCA,2.95,1.03,3.49,4.59,1.04
BRCA41,BRCA,0.79,1.12,3.35,3.19,2.26
BRCA42,BRCA,2.79,1.01,1.88,4.39,1.06
BRCA43,BRCA,2.64,0.55,3.47,4.44,0.64
BRCA44,BRCA,1.71,0.93,2.53,3.99,2.93
BRCA45,BRCA,1.55,1.34,2.54,3.55,2.96
BRCA46,BRCA,1.76,1.09,2.3,2.3,2.15
BRCA47,BRCA,1.22,0.4,2.71,2.93,2.5
BRCA48,BRCA,-0.08,1.11,0.6,0.62,0.02
BRCA49,BRCA,2.83,0.56,2.29,5.06,2.27
BRCA50,BRCA,1.83,0.34,1.88,1.89,2.59
BRCA51,BRCA,0.36,0.82,1.5,3.47,2.74
BRCA52,BRCA,-1.74,1.22,0.38,-1.14,-0.5
BRCA53,BRCA,2.09,1.25,3.7,3.87,3.45
BRCA54,BRCA,0.34,-0.55,0.84,-2,2.34
BRCA55,BRCA,0.11,0.39,1.44,-2.69,1.19
BRCA56,BRCA,0.16,-1.12,-1.75,-2.88,2.56
BRCA57,BRCA,2.12,1.27,2.98,3.59,1.13
BRCA58,BRCA,2.37,1.14,2.48,4.27,2.52
BRCA59,BRCA,1.94,0.94,2.68,2.79,2.88
BRCA60,BRCA,1.93,1.39,1.27,2.07,2.72
BRCA61,BRCA,1.7,1.09,1.91,1.69,3.24
BRCA62,BRCA,2.25,2.2,4.03,4.37,2.69
BRCA63,BRCA,2.19,0.86,2.15,3.93,3.67
BRCA64,BRCA,-2.94,-1.58,-0.92,-3.9,0.46
BRCA65,BRCA,1.73,0.85,2.74,5.55,3.7
BRCA66,BRCA,1.43,0.28,2.14,3.45,3.11
BRCA67,BRCA,2.02,0.9,3.27,3.74,2.21
BRCA68,BRCA,2.33,0.2,3.73,4.53,2.71
BRCA69,BRCA,-4.57,0.66,-1.4,-3.59,2.85
BRCA70,BRCA,1.43,1.19,2.21,3.83,2.76
BRCA71,BRCA,1.97,1.56,2.26,2.38,2.31
BRCA72,BRCA,-2.71,0.46,-1.59,-2.92,0.87
BRCA73,BRCA,1.5,0.42,2.03,3.88,2.75
BRCA74,BRCA,3.14,0.62,3.44,4.63,3.32
BRCA75,BRCA,0,1.69,3.2,3.98,1.26
BRCA76,BRCA,-1.03,0.05,-1.26,-1.1,1.92
BRCA77,BRCA,1.22,1.57,1.05,4.65,3.47
BRCA78,BRCA,0.32,0.88,1.36,3.15,1.69
BRCA79,BRCA,2.48,0.62,3.02,5.47,3.78
BRCA80,BRCA,2.42,0.02,2.3,4.66,-1.92
BRCA81,BRCA,-3.25,2.04,-1.67,0.58,-2.79
BRCA82,BRCA,2.84,0.92,3.13,3.29,1.38
BRCA83,BRCA,-1.06,0.48,-0.78,-3.34,2.15
BRCA84,BRCA,-3.86,1.7,-1.38,0.03,-2.4
BRCA85,BRCA,1.93,-0.42,2.06,4.46,3.79
BRCA86,BRCA,-1.75,-0.43,-1.21,-3.04,2.97
BRCA87,BRCA,-0.43,1.75,0.85,2.49,0.23
BRCA88,BRCA,-4.4,0.83,-1.34,-1.09,0.87
BRCA89,BRCA,-0.75,1.92,-0.07,0.35,-0.05
BRCA90,BRCA,2.26,1.07,3.16,2.84,3.56
BRCA91,BRCA,3.32,-0.1,3.65,5.61,1.49
BRCA92,BRCA,0.79,-0.26,3.21,4.58,0.04
BRCA93,BRCA,1.6,0.84,1.85,3.09,2.27
BRCA94,BRCA,0.89,-0.04,3.24,3.48,2.79
BRCA95,BRCA,1.1,0.53,1.28,4.43,2.15
BRCA96,BRCA,2.38,1.04,2.52,5.27,3.03
BRCA97,BRCA,2.67,0,2.71,4.34,-1.05
BRCA98,BRCA,3.71,0.65,0.9,4.95,1.99
BRCA99,BRCA,2.98,0.52,1.29,5.26,2.25
BRCA100,BRCA,1.44,0.73,2.89,4.43,2.71
BRCA101,BRCA,1.71,0.59,2.24,1.47,3.1
BRCA102,BRCA,1.62,0.67,1.96,1.9,2.67
BRCA103,BRCA,2.6,0.44,2.93,5.37,-2.35
BRCA104,BRCA,2.12,0.89,2.01,3.03,0.73
BRCA105,BRCA,-4.39,-0.18,-1.12,-3.46,-1.9
BRCA106,BRCA,1.21,0.77,2.23,4.14,3.08
BRCA107,BRCA,1.93,1.09,2.88,3.26,3.37
BRCA108,BRCA,1.74,0.88,3.05,4.66,3.3
BRCA109,BRCA,1.54,1.23,4.3,3.98,3.1
BRCA110,BRCA,2.47,0.96,1.48,2.49,2.72
BRCA111,BRCA,2.15,0.67,3.34,5.79,2.66
BRCA112,BRCA,-2.05,0.73,-1,-1.67,3.27
BRCA113,BRCA,1.14,0.76,3.73,4.76,2.35
BRCA114,BRCA,-0.93,-0.1,-0.52,-4.42,1
BRCA115,BRCA,2.73,1.31,3.77,4.62,2.67
BRCA116,BRCA,-0.69,0.55,1.16,-0.46,1.84
BRCA117,BRCA,0.89,0.83,2.3,5.12,0.12
BRCA118,BRCA,3.15,0.82,3.08,4.4,3.09
BRCA119,BRCA,1.48,0.04,2.97,4.81,2.21
BRCA120,BRCA,2.34,0.48,2.77,3.53,1.79
BRCA121,BRCA,3.87,0.5,3.52,5.9,2.86
BRCA122,BRCA,2.33,0.41,2.5,4.13,3.7
BRCA123,BRCA,2.07,1.18,2.29,4.27,-1.66
BRCA124,BRCA,1.82,0.89,2.34,3.98,-1.55
BRCA125,BRCA,2.42,-0.73,2.67,4.52,3.39
BRCA126,BRCA,2.15,0.29,2.84,2.44,2.95
BRCA127,BRCA,2.65,0.73,2.38,5.09,3.83
BRCA128,BRCA,1.51,0.08,2.38,4.23,1.47
BRCA129,BRCA,3.34,0.56,3.45,4.49,2.07
BRCA130,BRCA,-1.37,0.73,-0.71,2.27,0.05
BRCA131,BRCA,1.4,0.63,2.51,5.25,1.64
BRCA132,BRCA,2.34,0.87,0.35,0.59,1.21
BRCA133,BRCA,0.88,0.56,2.05,1.59,0.95
BRCA134,BRCA,2.41,1.05,2.62,2.85,2.74
BRCA135,BRCA,0.92,0.56,2.29,3,2.52
BRCA136,BRCA,-3.77,0.42,0.53,-2.97,1.11
BRCA137,BRCA,2.63,1.1,3.12,4.61,2.76
BRCA138,BRCA,2.28,0.52,2.5,4.21,3.32
BRCA139,BRCA,-1.91,0.57,1.61,-1.59,1.58
BRCA140,BRCA,2.44,0.94,1.7,2.87,3.08
BRCA141,BRCA,2.42,0.86,1.73,4.75,2.99
BRCA142,BRCA,3.51,0.61,3.82,4.41,-0.66
BRCA143,BRCA,1.58,0.79,3.12,1.89,2.81
BRCA144,BRCA,2.27,0.46,2.97,4.48,3.19
BRCA145,BRCA,-0.4,0.35,2.69,1.06,2.48
BRCA146,BRCA,2.12,1.18,3.02,4.04,3.4
BRCA147,BRCA,1.46,1.66,3.33,4.25,3.27
BRCA148,BRCA,1.27,0.55,1.79,3.67,2.59
BRCA149,BRCA,2.35,1.13,4.49,5.34,3.5
BRCA150,BRCA,2.36,0.71,3.17,3.54,2.41
BRCA151,BRCA,2.38,0.52,3.37,4.48,3.19
BRCA152,BRCA,2.13,0.68,1.95,4.63,3.36
BRCA153,BRCA,2.24,1.07,2.83,1.9,0.44
BRCA154,BRCA,2.27,-0.21,3.45,4.79,2.82
BRCA155,BRCA,0.34,1.4,3.06,-0.07,3.84
BRCA156,BRCA,2.35,0.77,2.46,3.04,3.29
BRCA157,BRCA,3.49,-0.11,3.82,5.24,2.6
BRCA158,BRCA,0.92,-1.34,3.29,4.78,1.32
BRCA159,BRCA,2.12,1.29,3.13,4.39,3.07
BRCA160,BRCA,1.64,0.68,2.48,4.79,1.86
BRCA161,BRCA,1.98,1.14,2.36,3.26,2.55
BRCA162,BRCA,2.04,-0.5,2.32,3.84,2.87
BRCA163,BRCA,2.52,0.57,3.42,3.75,3.22
BRCA164,BRCA,1.12,0.48,1.48,3.4,3.74
BRCA165,BRCA,0.01,-0.02,1.63,-2.11,2.06
BRCA166,BRCA,2.45,-0.37,1.89,4.01,4.05
BRCA167,BRCA,2.7,0.89,3.35,4.93,3.62
BRCA168,BRCA,2.84,-0.77,4.03,4.87,2.96
BRCA169,BRCA,1.7,0.84,1.39,3.38,2.54
BRCA170,BRCA,1.9,0.97,2.93,2.52,3.54
BRCA171,BRCA,-1.11,0.64,0.74,-1.4,2.34
BRCA172,BRCA,1.96,0.77,3.3,4.63,2.83
BRCA173,BRCA,2.49,0.45,2.87,5.28,2.53
BRCA174,BRCA,1.52,0.64,2.92,4.88,2.51
BRCA175,BRCA,1.69,0.73,3.03,4.02,2.96
BRCA176,BRCA,3,-0.07,3.42,4.53,1.69
BRCA177,BRCA,2.47,0.98,3.76,3.28,0.91
BRCA178,BRCA,1.72,0.67,2.47,4.58,2.94
BRCA179,BRCA,2.17,1.49,2.36,4.78,2.23
BRCA180,BRCA,1.87,1.17,2.81,2.67,2.34
BRCA181,BRCA,-0.16,0.61,1.27,-0.11,1.3
BRCA182,BRCA,-4.94,-2.4,-0.64,-4.11,0.41
BRCA183,BRCA,1.62,0.49,2.28,3.92,1.21
BRCA184,BRCA,2.24,0.15,2.9,3.86,2.3
BRCA185,BRCA,-1.6,0.79,0.58,-3.02,1.12
BRCA186,BRCA,1.8,-0.3,1.83,4.6,0.26
BRCA187,BRCA,0.36,-2.32,-1.43,-2.32,-2.39
BRCA188,BRCA,1.29,0.69,2.48,2.42,3.15
BRCA189,BRCA,-3.62,-1.7,-1.38,-3.72,-0.95
BRCA190,BRCA,2.7,1.07,1.01,4.3,2.25
